os,inner_ip,vpn,n_inner_ip
Centos7.6,192.168.253.155,shxaxs_shnq;shxaxs_sz,10.168.9.2
windows2016,192.168.253.159,caihongxu_shnq,10.168.9.4
centos 7.6,192.168.253.161,kkdfhz_shnq,10.168.9.6
windows2016,192.168.253.163,shcf_shnq,10.168.9.7
Centos7.6,192.168.253.146,BBro_shnq,10.168.9.8
CentOS 7.6,192.168.253.184,leiying_shnq,10.168.9.11
Windows 2016,192.168.253.173,gene1_shnq;gene2_shnq,10.168.9.14
CentOS 7.6,192.168.253.174,luliang_shnq,10.168.9.15
CentOS 7.6,192.168.253.175,luban_shnq,10.168.9.16
CentOS 7.6,192.168.253.176,cts_shnq;hx11_shnq;hx22_shnq;hx_zdp_shnq,10.168.9.17
Centos7.6,192.168.253.164,taotech_shnq,10.168.9.19
Centos7.8,192.168.253.166,xwu_shnq,10.168.9.20
Centos7.6,192.168.253.167,zsquant1_shnq;zsquant2_shnq;zsquant3_shnq;zsquant1_sz;zsquant2_sz;zsquant3_sz,10.168.9.21
Ubuntu 18.04.5,192.168.253.168,njyxkj_shnq;njyxkj_sz,10.168.9.22
Ubuntu 18.04.5,192.168.253.171,njyxkj_shnq;njyxkj_sz,10.168.9.23
CentOS 7.6,192.168.253.165,shmjxxjs_shnq,10.168.9.24
CentOS 7.6,192.168.253.172,cdqjkj_shnq;cdqjkj_shnq2;cdqjkj_sz;cdqjkj_sz2,10.168.9.25
Windows2012,192.168.253.170,xxzc_shnq;xxzc2_shnq,10.168.9.26
Centos7.6,192.168.253.223,shmlkj_sz;shmlkj_shnq,10.168.9.27
Centos7.6,192.168.253.225,kkdfhz_shnq,10.168.9.28
centos7.6,192.168.253.237,shlzkj_shnq;shlzkj_sz,10.168.9.29
CentOS 7.7,192.168.253.182,ray_shnq,10.168.9.30
Redhat 7.5,192.168.253.134,luban_shnq,10.168.9.31
centos7.6,192.168.253.232,shmlkj_sz;shmlkj_shnq,10.168.9.34
centos7.7,192.168.253.140,qingyan_shnq,10.168.9.35
Centos7.6,192.168.253.143,shkkxx_shnq,10.168.9.36
Centos7.5,192.168.253.144,zhaominghua_shnq;cynzl_shnq;cyjsj_shnq,10.168.9.37
centos7.4,192.168.253.139,ansheng_shnq,10.168.9.39
windows2016,192.168.253.142,wzxykj_shnq,10.168.9.40
Redhat 7.6,192.168.253.177,sy_shnq,10.168.9.44
CentOS7,192.168.253.149,flowam_shnq,10.168.9.45
redhat7.4,192.168.253.204,dolapocket_shnq;donnie_shnq;zhoujian_shnq;cts_shnq;hx11_shnq;hx22_shnq;hx_zdp_shnq;shzwlh2_shnq;shzwlh_shnq;shzwlh3_shnq;mingfeng_shnq;Pengjy;Dukq;xiongsy;huangyt,10.168.9.46
Centos7.6,192.168.253.217,shxaxs_shnq;shxaxs_sz,10.168.9.47
windows2012,192.168.253.234,shxytz_shnq,10.168.9.50
Centos7.6,192.168.253.156,storm_shnq,10.168.9.51
Ubuntu 20.04.1,192.168.253.180,zxp_shnq,10.168.9.52
CentOS 7.6,192.168.253.179,KC_shnq;KC_sz,10.168.9.53
redhat7.5,192.168.253.214,gzhzd_shnq;oopfuture2_shnq;oopfuture_shnq;liwei_shnq;liyx1_shnq;liyx2_shnq;liyx3_shnq;otono_base;dashing123_shnq;luoxuan_shnq;mx_shnq;wy_shnq,10.168.9.54
Windows 2012,192.168.253.216,xiangma_shnq;xiangma2_shnq,10.168.9.55
Linux,192.168.253.220,shxytz_shnq,10.168.9.56
Centos7.6,192.168.253.221,zsquant1_shnq;zsquant2_shnq;zsquant3_shnq;zsquant1_sz;zsquant2_sz;zsquant3_sz,10.168.9.58
Ubuntu 16.04.6,192.168.253.186,jf_jingle_shnq,10.168.9.59
Windows 2016,192.168.253.191,zxq_shnq,10.168.9.60
CentOS 7.6,192.168.253.189,gruidy_shnq;hzhiggs_shnq,10.168.9.61
CentOS 7.6,192.168.253.192,mouhe_shnq;mouhe2_shnq,10.168.9.62
CentOS 7.8,192.168.253.209,prob_shnq,10.168.9.63
Clear Linux,192.168.253.181,nautilus_shnq,10.168.9.64
Clear Linux,192.168.253.185,nautilus_shnq,10.168.9.67
CentOS 7.8,192.168.252.10,vextor_shnq,10.168.9.68
CentOS 7.6,192.168.252.5,zhoujian_shnq,10.168.9.69
Ubuntu 18.04.5,192.168.252.3,ares_shnq,10.168.9.70
CentOS 7.6,192.168.252.2,oopfuture_shnq;oopfuture2_shnq,10.168.9.71
CentOS 7.8,192.168.252.1,trd_oper_shnq,10.168.9.72
Ubuntu20.04.1,192.168.252.4,dszb_shnq,10.168.9.73
CentOS 7.8,192.168.252.7,liwei_shnq,10.168.9.74
CentOS 7.6,192.168.252.9,shmlkj_sz;shmlkj_shnq,10.168.9.75
Ubuntu 18.04.5,192.168.252.8,ybtzhx_shnq,10.168.9.76
CentOS 7.8,192.168.252.13,cdyskj_shnq,10.168.9.77
CentOS 7.6,192.168.252.11,mxtouzi1_shnq;mxtouzi2_shnq;mxtouzi3_shnq,10.168.9.78
CentOS 7.8,192.168.252.15,TradeEve_shnq;TradeEve2_shnq,10.168.9.79
CentOS 7.6,192.168.252.12,shlzkj_shnq;shlzkj_sz,10.168.9.80
Ubuntu18.04.5,192.168.252.14,ares_shnq,10.168.9.81
windows2008,192.168.253.200,yiwusoft_shnq,10.168.9.42
