HOST_PRODUCT_NAME,SH_LEVEL1_ENHANCED
HOST_IP_ADDRESS,10.168.8.28
HOST_DISK_USAGE,1
HOST_DATA_TIME,20211011:13:26:21
FPGA_TEMPERATRUE_B,36.1
FPGA_TEMPERATRUE_A,45.5
FPGA_FILE_LOAD,1
FPAG_VERSION_B,6405
FPAG_VERSION_A,27
FPAG_SPOT_SEL_BIN_1,1622633
FPAG_SPOT_SEL_BIN_0,10745553
FPAG_OPTION_SEL_XELE,1666844
FPAG_OPTION_SEL_BIN,505317
FPAG_OPTION_SEL_BIN_1,303822
FPAG_OPTION_SEL_BIN_0,1767336
